time (ms),lon (deg),lat (deg),x (wgs84),y (wgs84),dist-hav (m),dist-cos (m)
361000,52.27718662,9.37038139,0.912409030199,0.163544007423,0.332580154251,0.328865519018
362000,52.27718671,9.37038155,0.912409031769,0.163544010216,0.0203475403338,0.0
363000,52.27718536,9.37038699,0.912409008207,0.163544105162,0.622768897489,0.629729525428
364000,52.27718506,9.37038847,0.912409002971,0.163544130992,0.167827522847,0.164432759509
365000,52.27718442,9.37039057,0.912408991801,0.163544167644,0.243837617296,0.25117518906
366000,52.27718408,9.37039172,0.912408985867,0.163544187716,0.133203704456,0.094935297966
367000,52.27718396,9.37039222,0.912408983773,0.163544196442,0.0571349643287,0.094935297966
368000,52.27718395,9.37039234,0.912408983598,0.163544198537,0.0133884183702,0.0
369000,52.27718393,9.3703925,0.912408983249,0.163544201329,0.0179259865775,0.0
370000,52.27718393,9.37039263,0.912408983249,0.163544203598,0.0144553404747,0.0
371000,52.27718398,9.37039508,0.912408984122,0.163544246359,0.272482792887,0.268517571863
372000,52.27718443,9.37040301,0.912408991976,0.163544384763,0.883156784478,0.880393735093
373000,52.27718393,9.37040637,0.912408983249,0.163544443406,0.377620536327,0.36768282799
374000,52.27718483,9.3704009,0.912408998957,0.163544347937,0.616198778933,0.615251049244
375000,52.27718369,9.37039567,0.91240897906,0.163544256656,0.594846598019,0.592870745775
376000,52.27718404,9.37039601,0.912408985169,0.16354426259,0.0538868367377,0.0
377000,52.27718423,9.37039783,0.912408988485,0.163544294355,0.203445484999,0.189870595932
378000,52.27718511,9.3703998,0.912409003844,0.163544328738,0.239386209541,0.232543038596
379000,52.2771858,9.37040141,0.912409015887,0.163544356838,0.194371117226,0.212281779716
380000,52.27718554,9.37040162,0.912409011349,0.163544360503,0.0368637566806,0.0
381000,52.27718483,9.37039926,0.912408998957,0.163544319313,0.273736903955,0.284805893898
382000,52.27718503,9.37039592,0.912409002448,0.163544261019,0.372038677331,0.36768282799
383000,52.27718545,9.37039412,0.912409009778,0.163544229604,0.205386505002,0.189870595932
384000,52.27718548,9.37039371,0.912409010302,0.163544222448,0.045708573514,0.0
385000,52.27718535,9.37039122,0.912409008033,0.163544178989,0.277242469042,0.284805893898
386000,52.27718541,9.37039077,0.91240900908,0.163544171135,0.0504688486116,0.0
387000,52.27718511,9.37038926,0.912409003844,0.163544144781,0.171099842925,0.134258785931
388000,52.27718495,9.37038823,0.912409001052,0.163544126804,0.115868174445,0.134258785931
389000,52.27718468,9.37038751,0.912408996339,0.163544114237,0.0853646492363,0.094935297966
390000,52.27718454,9.37038714,0.912408993896,0.16354410778,0.0439157210786,0.0
391000,52.27718447,9.37038694,0.912408992674,0.163544104289,0.0235276760755,0.094935297966
392000,52.27718447,9.37038798,0.912408992674,0.16354412244,0.115642723798,0.134258785931
393000,52.27718582,9.37038115,0.912409016236,0.163544003234,0.773768792916,0.782856522227
394000,52.27718474,9.37038514,0.912408997386,0.163544072873,0.459217274992,0.45529369466
395000,52.27718823,9.37037568,0.912409058298,0.163543907765,1.11942323091,1.11927065591
