x,y,z
0.163589761695,93.0,0.912899584888
0.163586852522,93.0,0.912896228329
0.163583732455,92.0,0.912892874679
0.163580710417,92.0,0.912889543427
0.163577613621,91.0,0.912886096693
0.163574584021,92.0,0.912882663921
0.163571557911,91.0,0.912879382411
0.163568551872,91.0,0.912876040106
0.163565510345,91.0,0.912872671329
0.163562449037,91.0,0.912869362476
0.163559511648,91.0,0.912866006208
0.163556562624,91.0,0.912862678447
0.163553625525,91.0,0.912859314906
0.163550696863,91.0,0.912855951075
0.163547749874,91.0,0.912852586953
0.163544881717,90.0,0.91284922574
0.163542060683,90.0,0.912845906414
0.16353911864,90.0,0.912842607742
0.163536094857,90.0,0.912839201441
0.163533097254,90.0,0.912835768088
0.163530060962,90.0,0.912832365859
0.163526967657,91.0,0.912828910398
0.163523877552,91.0,0.912825444174
0.163520808972,91.0,0.91282198435
0.163517692687,91.0,0.912818456748
0.16351457931,91.0,0.912815037648
0.163511496477,91.0,0.912811590914
0.163508515746,91.0,0.912808263735
0.163505567884,91.0,0.912804938883
0.163502640676,91.0,0.912801703624
0.163499798699,91.0,0.912798458766
0.163496913088,90.0,0.912795238633
0.163493969881,91.0,0.912792105186
0.163491190444,91.0,0.912788994718
0.163488389481,91.0,0.912785852253
0.163485695566,91.0,0.912782712696
0.16348289024,91.0,0.912779501
0.16348004768,90.0,0.912776398968
0.163477189413,90.0,0.91277326872
0.163474338999,91.0,0.912770132654
0.163471550836,91.0,0.912766941029
0.163468685296,91.0,0.912763813689
0.163465857281,91.0,0.912760642717
0.163463074062,91.0,0.912757454
0.163460246338,91.0,0.91275430339
0.163457344728,91.0,0.912751225211
0.163454493733,91.0,0.912748046676
0.16345167619,91.0,0.912744847196
0.163448822285,91.0,0.912741640445
0.16344592213,91.0,0.912738427294
0.163443111568,90.0,0.912735244104
0.163440307115,91.0,0.912732044334
0.163437486081,91.0,0.912728900414
0.163434641194,91.0,0.912725629376
0.163431726785,91.0,0.912722411862
0.163428829539,91.0,0.912719112317
0.163425953236,91.0,0.912715943962
0.163423124057,91.0,0.912712846875
0.163420317277,90.0,0.912709680557
0.1634175934,90.0,0.912706518021
0.163414972206,90.0,0.912703400281
0.163412206732,90.0,0.912700259852
0.163409506708,90.0,0.91269713164
0.16340680872,90.0,0.912694085459
0.16340388442,90.0,0.912690921177
0.163401042152,90.0,0.912687760095
0.163398279877,90.0,0.912684681334
0.163395535347,90.0,0.912681579302
0.163392824851,91.0,0.912678581699
0.1633901065,90.0,0.912675593113
0.163387309029,91.0,0.912672532969
0.163384468796,91.0,0.91266939225
0.16338158813,91.0,0.912666267528
0.163378822947,91.0,0.912663112555
0.163375994932,91.0,0.912659945946
0.163373108157,91.0,0.91265677381
0.163370303704,91.0,0.912653603419
0.163367375332,91.0,0.912650454264
0.163364440852,91.0,0.912647308889
0.16336139438,92.0,0.912644087012
0.163358219335,91.0,0.912641147877
0.163354989603,90.0,0.912638174709
0.163351748236,90.0,0.91263508024
0.163348529267,90.0,0.912632007297
0.163345209942,90.0,0.912629027147
0.163341593619,90.0,0.912626017327
0.163338012495,90.0,0.912623052303
0.163334502056,89.0,0.912620164947
0.163330874389,88.0,0.91261719236
0.163327168473,88.0,0.912614338165
0.163323426487,87.0,0.912611455172
0.163319724353,86.0,0.912608669918
0.163315961714,86.0,0.9126058803
0.163312252598,85.0,0.912603260851
0.163308511194,85.0,0.912600636167
0.163304685723,84.0,0.912598106603
0.163300979517,84.0,0.912595600892
0.163297333524,83.0,0.912593176339
0.16329364768,83.0,0.912590794837
